Rndrng_Prvdr_State_Abrvtn,mean,std,count
AK,0.21827661705143608,0.16927647658394676,22777
AL,0.3498990054569314,0.2177785856685553,157413
AR,0.328945140699174,0.19610245754324407,103071
AZ,0.30405683162376673,0.1893850966775017,220296
CA,0.30026145865095333,0.2031193552051549,832285
CO,0.2952773526637002,0.19158341226847153,156751
CT,0.3041193953265115,0.1980088210542001,118988
DC,0.30611569793437554,0.17561024885153204,26068
DE,0.321887980753565,0.1989243843411628,40028
FL,0.3147489543915619,0.19973608349934735,708251
GA,0.2766999428308322,0.19635862533531673,283554
HI,0.3310074358441038,0.18925721975107046,26196
IA,0.3028613539546399,0.20026683067213155,104923
ID,0.3154933982016666,0.18605746614008517,46264
IL,0.2825684982821939,0.19336086822818685,398174
IN,0.3207364544499489,0.2033236403440842,198457
KS,0.30411087618187027,0.1937706666577189,103673
KY,0.32400311785680647,0.1916627733798445,133944
LA,0.3040302175597121,0.19835070228033136,131501
MA,0.2639640668257686,0.16630046327487802,285293
MD,0.32512390253024087,0.19159093041945302,227740
ME,0.30754182612091197,0.1751121850447478,40292
MI,0.33601543946855383,0.20210990772273874,277867
MN,0.2471721285275272,0.18569220331811326,202884
MO,0.29323628177284,0.18938067641462333,185840
MS,0.3083497812394025,0.2067066834380518,100285
MT,0.31858488430767,0.18163567723494042,34762
NC,0.28988510789729854,0.19159580789970168,346027
ND,0.2761606713791626,0.17795701168819564,27624
NE,0.29417379042500474,0.19309122974248388,76377
NH,0.2705003084075753,0.19023044644846857,53454
NJ,0.31306544434066363,0.20820299781648618,321508
NM,0.3105269346316497,0.20223550324513737,45064
NV,0.2801719840954693,0.19289660516383483,75379
NY,0.3038914581896871,0.20720889872546902,621406
OH,0.30709555655774473,0.20170464047934716,347622
OK,0.3139097209574758,0.20065126449798218,115178
OR,0.2772970217274109,0.17234419488931577,106985
PA,0.32191865862602964,0.19546961700538287,442350
RI,0.29449375082292883,0.18165835557927357,34951
SC,0.3010183442493315,0.2008580731861106,187013
SD,0.3681824350384538,0.24420696137409093,35121
TN,0.30477301688849945,0.19489076719390894,259891
TX,0.29193891456260657,0.20443330758069111,686350
UT,0.3321038120225607,0.19539161125357435,76284
VA,0.31887533439846216,0.20037414691422548,278170
VT,0.3295491047781791,0.22044515533290346,18466
WA,0.29430339243673875,0.16610878018918407,194584
WI,0.21052602202655601,0.19467138077367752,171140
WV,0.3012692673060814,0.19068484328877033,49606
WY,0.3044223100402369,0.21763633682473424,18816
