group1,group2,meandiff,p-adj,lower,upper,reject
AK,SD,0.1499,0.0,0.1432,0.1566,True
AK,AL,0.1316,0.0,0.126,0.1372,True
MN,SD,0.121,0.0,0.1164,0.1256,True
AK,MI,0.1177,0.0,0.1123,0.1232,True
AK,UT,0.1138,0.0,0.1079,0.1198,True
AK,HI,0.1127,0.0,0.1056,0.1199,True
AK,VT,0.1113,0.0,0.1035,0.1191,True
AK,AR,0.1107,0.0,0.1049,0.1164,True
AK,MD,0.1068,0.0,0.1014,0.1123,True
AK,KY,0.1057,0.0,0.1001,0.1114,True
MA,SD,0.1042,0.0,0.0998,0.1087,True
AK,DE,0.1036,0.0,0.0971,0.1102,True
AK,PA,0.1036,0.0,0.0983,0.109,True
AK,IN,0.1025,0.0,0.0969,0.108,True
AK,VA,0.1006,0.0,0.0952,0.106,True
AK,MT,0.1003,0.0,0.0936,0.107,True
NJ,WI,-0.1025,0.0,-0.1049,-0.1002,True
AL,MN,-0.1027,0.0,-0.1054,-0.1001,True
OK,WI,-0.1034,0.0,-0.1064,-0.1004,True
FL,WI,-0.1042,0.0,-0.1063,-0.1021,True
ID,WI,-0.105,0.0,-0.1091,-0.1008,True
MT,WI,-0.1081,0.0,-0.1127,-0.1034,True
VA,WI,-0.1083,0.0,-0.1108,-0.1059,True
IN,WI,-0.1102,0.0,-0.1128,-0.1076,True
PA,WI,-0.1114,0.0,-0.1136,-0.1091,True
DE,WI,-0.1114,0.0,-0.1157,-0.107,True
KY,WI,-0.1135,0.0,-0.1164,-0.1106,True
MD,WI,-0.1146,0.0,-0.1171,-0.1121,True
AR,WI,-0.1184,0.0,-0.1215,-0.1153,True
VT,WI,-0.119,0.0,-0.1251,-0.1129,True
HI,WI,-0.1205,0.0,-0.1257,-0.1152,True
UT,WI,-0.1216,0.0,-0.125,-0.1181,True
MI,WI,-0.1255,0.0,-0.1279,-0.1231,True
AL,WI,-0.1394,0.0,-0.1421,-0.1366,True
SD,WI,-0.1577,0.0,-0.1623,-0.153,True
