feature,coefficient,p_value,lower_ci,upper_ci
Intercept,7.126096992833958,0.0,7.10926295438109,7.1429310312868255
C(Rndrng_Prvdr_State_Abrvtn)[T.AL],-0.28057499271773384,0.0,-0.2941877307996444,-0.2669622546358233
C(Rndrng_Prvdr_State_Abrvtn)[T.AR],-0.26075390067311094,2.3045362754479385e-289,-0.27481168030299497,-0.24669612104322688
C(Rndrng_Prvdr_State_Abrvtn)[T.AZ],-0.1000227249452801,1.110037057654235e-48,-0.11339228713117008,-0.08665316275939011
C(Rndrng_Prvdr_State_Abrvtn)[T.CA],-0.04540164304239543,5.330670534940887e-12,-0.05830467183031436,-0.032498614254476504
C(Rndrng_Prvdr_State_Abrvtn)[T.CO],-0.1337190053186808,1.4903457386717787e-82,-0.147335641996546,-0.12010236864081561
C(Rndrng_Prvdr_State_Abrvtn)[T.CT],-0.0893653591450427,1.9671784086059044e-36,-0.10326017214719868,-0.07547054614288673
C(Rndrng_Prvdr_State_Abrvtn)[T.DC],-0.015484460586774156,0.08153790352514535,-0.032908064857319924,0.0019391436837716096
C(Rndrng_Prvdr_State_Abrvtn)[T.DE],-0.11220185090640467,2.5030422158840543e-43,-0.12813589802734565,-0.0962678037854637
C(Rndrng_Prvdr_State_Abrvtn)[T.FL],-0.08992565474125865,2.703094940140293e-42,-0.10285792780392372,-0.07699338167859357
C(Rndrng_Prvdr_State_Abrvtn)[T.GA],-0.2127081602899235,4.259478123532742e-218,-0.22593327066233834,-0.19948304991750868
C(Rndrng_Prvdr_State_Abrvtn)[T.HI],-0.16412837830691332,2.3622083365493457e-76,-0.18152346669206648,-0.14673328992176016
C(Rndrng_Prvdr_State_Abrvtn)[T.IA],-0.25482060355742125,2.0638695166019608e-277,-0.2688536279817093,-0.24078757913313317
C(Rndrng_Prvdr_State_Abrvtn)[T.ID],-0.2606020917820175,5.824383852633965e-237,-0.2761405930116881,-0.2450635905523469
C(Rndrng_Prvdr_State_Abrvtn)[T.IL],-0.15478782688045786,6.97151928807308e-119,-0.16787465316228356,-0.14170100059863217
C(Rndrng_Prvdr_State_Abrvtn)[T.IN],-0.21460737155692794,3.5953359974604915e-215,-0.2280418895719803,-0.20117285354187558
C(Rndrng_Prvdr_State_Abrvtn)[T.KS],-0.22551490030213198,2.927894943461927e-217,-0.23956352323883767,-0.21146627736542628
C(Rndrng_Prvdr_State_Abrvtn)[T.KY],-0.21864679473885645,6.653690753438697e-213,-0.2324075984616701,-0.2048859910160428
C(Rndrng_Prvdr_State_Abrvtn)[T.LA],-0.239371541342076,5.895435051076474e-254,-0.2531541173060399,-0.22558896537811207
C(Rndrng_Prvdr_State_Abrvtn)[T.MA],-0.12945084480415803,5.926966051705261e-82,-0.1426821204345347,-0.11621956917378135
C(Rndrng_Prvdr_State_Abrvtn)[T.MD],-0.045479432839710385,2.4132491650821556e-11,-0.05882634410131631,-0.03213252157810446
C(Rndrng_Prvdr_State_Abrvtn)[T.ME],-0.2601261518959442,3.4218671588153665e-225,-0.27604018473589653,-0.2442121190559918
C(Rndrng_Prvdr_State_Abrvtn)[T.MI],-0.2330959717201232,5.307405505469211e-261,-0.24633329055438,-0.2198586528858664
C(Rndrng_Prvdr_State_Abrvtn)[T.MN],-0.2160918678341601,1.276384160940081e-218,-0.22951111053721596,-0.20267262513110423
C(Rndrng_Prvdr_State_Abrvtn)[T.MO],-0.23924803184226018,4.9065172743629954e-265,-0.25273006513559537,-0.225765998548925
C(Rndrng_Prvdr_State_Abrvtn)[T.MS],-0.2633256877048154,2.4935750506469126e-293,-0.27742509782367475,-0.24922627758595603
C(Rndrng_Prvdr_State_Abrvtn)[T.MT],-0.17897490135968258,7.282607593319765e-102,-0.19534487232674289,-0.16260493039262228
C(Rndrng_Prvdr_State_Abrvtn)[T.NC],-0.2131544422942841,4.9145432592912203e-222,-0.2262881091062966,-0.2000207754822716
C(Rndrng_Prvdr_State_Abrvtn)[T.ND],-0.28418988921172067,1.6075354814703987e-230,-0.3013721004087673,-0.26700767801467407
