HCPCS_Cd,statistic,p_value,median_diff,n_pairs,p_value_fdr,significant
00142,3102.0,0.00020999882074845523,0.047797216184318536,139,0.00026676883688380316,True
00731,28549.0,0.08120907237785183,0.026798482963486414,357,0.09002508858588584,False
00811,44668.0,0.003433322073455177,-0.014271078867260867,460,0.004171839864999311,True
00812,3063.0,9.864555792656586e-05,-0.03777140550817082,140,0.0001271378428616662,True
00813,1818.0,0.966796250006185,0.008574535911344938,85,0.9686203938741211,False
01922,15.0,2.551823854446411e-07,0.15500370963379595,30,3.7328332416282213e-07,True
01938,265.0,0.003758197434365229,0.01850351133210104,45,0.004525176502603031,True
01940,169.0,1.3667570399888973e-06,0.08309868151937527,50,1.925060976748288e-06,True
01992,576.0,0.03046540367027865,0.01348122712200972,58,0.03524429052051844,True
0598T,580.0,0.16176488128300381,-5.4205055098677235e-05,60,0.1749432830168534,False
0599T,209.0,0.8647311441600323,0.0001250416791798159,29,0.8712945684041311,False
10005,48.0,2.239085006294772e-08,-0.4945705810601515,41,3.4866690273974307e-08,True
10060,30.0,3.0234456062316895e-05,-0.14288083942424645,27,3.944593653339133e-05,True
11042,3717.0,2.7140238434806954e-303,-0.7601963264011178,1863,5.764586643552997e-302,True
11043,46.0,2.5884811340008964e-93,-0.4189679165401947,560,1.527203869060529e-92,True
11044,0.0,1.8229684908388888e-18,-0.3227421692852728,102,4.653828214593509e-18,True
11045,25.0,3.9138841837867997e-28,-0.4750914399199766,162,1.2153640360180062e-27,True
11046,0.0,4.096357955947718e-20,-0.296439567517536,112,1.087583037304119e-19,True
11055,28.0,1.219437307357318e-51,-1.504309580832912,305,5.058759454740124e-51,True
11056,43.0,5.281727921841775e-66,-1.3207558809820927,393,2.573025253667874e-65,True
11057,0.0,2.842170943040401e-14,-1.1119511697241091,46,6.236333763448152e-14,True
11102,3410.0,5.441244384635397e-43,-1.0011080943652773,329,1.9926212194768243e-42,True
11103,145.0,6.218828861448476e-13,-0.8019107086588564,82,1.2508326232686138e-12,True
11104,37.0,4.17494447901845e-08,-0.9574593461754597,38,6.370389420571255e-08,True
11719,24.0,2.48335117095858e-24,-0.5882685017524782,139,7.051654929299498e-24,True
11720,6.0,1.3731879179174093e-84,-0.8299520874834105,506,7.757050898022812e-84,True
11721,2693.0,2.8425812346778163e-226,-0.6112937203686359,1390,3.5102572921253967e-225,True
11730,0.0,1.6409484676272285e-12,-0.7554443689518802,66,3.20346925113992e-12,True
12032,89.0,6.7374799073149916e-09,-0.4814011710986481,49,1.0808464745571785e-08,True
12052,38.0,2.4273991584777832e-05,-0.40580972295057904,29,3.182590007781983e-05,True
13101,0.0,1.4901161193847656e-08,-0.5352889994102901,27,2.3549156529562813e-08,True
13121,5.0,7.105427357601002e-14,-0.5821032342070653,48,1.509192770754453e-13,True
13132,11.0,6.217508616575035e-11,-0.4620018060903237,58,1.1004990251337812e-10,True
14060,0.0,4.547473508864641e-13,-0.277013616797515,42,9.251756449069442e-13,True
14301,2.0,2.86102294921875e-06,-0.29117852598434535,21,3.976971691191508e-06,True
15004,3.0,4.6566128730773926e-09,-0.4189605152958604,31,7.515688254115791e-09,True
15823,286.0,0.0008770038804826186,-0.07062586673634375,49,0.0010880585526548375,True
17000,26399.0,2.939467184916301e-07,-0.04588684237868201,388,4.288068887886142e-07,True
