HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference
00103,176713.0,0.17979831715414596,1.0,0.48409726758949007,False,0.0
00104,59661.5,0.9345535322663648,1.0666666666666667,1.0,False,6.666666666666665
00140,272503.5,2.8132291687022877e-10,0.9533898305084747,5.52154529225489e-09,True,-4.66101694915253
00142,15594503.5,2.9642918299084335e-36,0.9752321981424147,1.643535136804787e-34,True,-2.4767801857585314
00145,144343.0,0.14658849237324822,1.0,0.41404334543915583,False,0.0
00160,11449.5,0.2406880822666203,1.0,0.5869629654278316,False,0.0
00300,168847.5,0.11705174457837164,1.0,0.3518603647265509,False,0.0
00320,45347.0,0.38210437434457833,1.0,0.7636985959864269,False,0.0
00400,364038.0,0.0018232674136597624,1.0,0.012130805858882952,True,0.0
00410,92614.0,0.0009155687693209222,1.0,0.006685885110602052,True,0.0
0042T,32894.5,0.29639953117038786,1.0,0.6662313786217277,False,0.0
00520,194230.0,0.4340962633814171,1.0,0.8175725093496803,False,0.0
00530,38276.0,0.2510279342043767,1.0,0.602320378976417,False,0.0
00532,13488.0,0.018540958181291575,1.0,0.08514053496132973,False,0.0
00537,328431.5,0.6807313646551307,1.0,1.0,False,0.0
0055T,18273.0,0.8236924765009603,1.003809523809524,1.0,False,0.3809523809523929
00560,91203.5,0.8939289548093219,1.0,1.0,False,0.0
00562,6670.0,0.3018253707505719,1.0,0.6710164948091185,False,0.0
00567,22628.0,0.4574698097502385,1.0,0.8386406741485984,False,0.0
00630,19105.0,0.8179539881474662,1.0,1.0,False,0.0
00670,491316.0,0.01846499720838429,1.0,0.08505261791061933,False,0.0
00731,57365982.0,3.922972270139458e-19,1.0,1.2234769767497437e-17,True,0.0
00732,26580.5,0.02182068397335077,0.9605678233438485,0.09721894020269672,False,-3.9432176656151507
00790,2048585.0,0.002471822516183611,1.0,0.015697232185229264,True,0.0
00811,45216790.0,1.3893361009527573e-06,1.0,1.7331967859385648e-05,True,0.0
00812,15585475.5,0.7548995340853714,1.0,1.0,False,0.0
00813,11625439.5,0.27164655131523097,1.0,0.6314516883833863,False,0.0
00830,1846.0,0.1366089247638646,1.0,0.3940338350125343,False,0.0
00840,518049.5,0.022049361916820557,1.0,0.09794627533970436,False,0.0
